标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
业主招租免中介 BRT双十站湖里高新技术园力拓新城小区 两房一厅精装配套齐全风格多样公寓（赠送物业宽带 拎包入住 交通便利）,2999,整租,公寓,2室1厅1卫,52平米,第11层/共13层,,,力拓新城,万达广场,品牌公寓：
金湖路书香佳缘3房2厅2卫2阳台,4500,整租,公寓,3室2厅2卫,135平米,第5层/共11层,,,书香佳缘,枋湖,品牌公寓：
个人出租免中介金山BRT旁湖景一房一厅,2400,整租,公寓,1室1厅1卫,40平米,第24层/共32层,,,融景湾,湖边水库片,品牌公寓：
五缘湾特房五缘尚座4室2厅1厨2卫精装新房未入住,7600,整租,普通住宅,4室2厅2卫,141平米,朝南北,精装修,第13层/共24层,特房五缘尚座,五缘湾,经纪人：
建发SOHO中高楼层，前排朝东看五缘湾，全新装修未入住过,4000,整租,普通住宅,2室1厅1卫,60平米,朝南北,精装修,第12层/共19层,建发湾区SOHO,五缘湾,经纪人：
湖边水库世茂湖滨精装单身公寓家电齐全可拎包入住,1700,整租,普通住宅,1室1厅1卫,25平米,朝南北,精装修,第19层/共30层,世茂湖滨首府,湖边水库片,经纪人：
提包入住+精装两房+南北通透+小区环境优美+天天好心情,5400,整租,普通住宅,2室2厅2卫,104平米,朝南北,中等装修,第10层/共32层,世茂湖滨首府,湖边水库片,经纪人：
冠宏花园房东自住装修，真实照片，干净清爽，3房4000,4000,整租,普通住宅,3室2厅2卫,99平米,朝南北,豪华装修,第16层/共28层,冠宏花园,江头北路,经纪人：
五缘YOHO精装修楼中楼！挑高户型 2600全套 交通便 捷,2500,整租,普通住宅,1室1厅1卫,33平米,朝南,精装修,第16层/共24层,大唐五缘YOHO,五缘湾,经纪人：
五缘尚座，精装三房低价出租，小区环境优美，临近市政BRT,1600,整租,普通住宅,1室1厅1卫,31平米,朝南北,中等装修,第13层/共26层,特房五缘尊府,五缘湾,经纪人：
五缘湾紫金家园BRT沿线精装两房袋阳台4500拎包入住,4500,整租,普通住宅,2室2厅2卫,122平米,朝南北,中等装修,第13层/共13层,紫金家园,五缘湾,经纪人：
厦门市行政正对面 乐购旁 精装公寓 挑高户型 采光充足,3000,整租,普通住宅,1室1厅1卫,47平米,朝南,精装修,第17层/共26层,大唐五缘YOHO,五缘湾,经纪人：
五缘yoho BRT沿线  单身公寓 复式楼中楼 精装修,2700,整租,普通住宅,1室1厅1卫,33平米,朝南北,精装修,第15层/共24层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾市政旁精装单身公寓家门口就是BRT站和乐购,2500,整租,普通住宅,1室1厅1卫,47平米,朝南北,中等装修,第18层/共26层,特易购地产集团,五缘湾,经纪人：
急租大唐五缘YOHO精品交通生活两便利,2500,整租,普通住宅,1室1厅1卫,33平米,朝南北,精装修,第18层/共26层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾市政旁精装单身公寓家门口就是BRT站和乐购,2500,整租,普通住宅,1室1厅1卫,47平米,朝南北,中等装修,第18层/共26层,特易购地产集团,五缘湾,经纪人：
宝龙御湖官邸 一线湖景 家具齐全 拎包入住 ！,15000,整租,普通住宅,5室2厅3卫,250平米,朝东西,豪华装修,第33层/共36层,宝龙•御湖官邸,湖边水库片,经纪人：
湖边水库 世茂  精装2房 拎包入住 环境优美 配套齐全！,3500,整租,普通住宅,2室1厅1卫,110平米,朝南北,精装修,第7层/共32层,世茂湖滨首府,湖边水库片,经纪人：
湖边水库 世茂 精装单间 拎包入住 有厨房 独立大卫生间,1700,合租,普通住宅,1室1厅1卫,25平米,朝南北,精装修,第32层/共32层,世茂湖滨首府,湖边水库片,经纪人：
湖边水库 世茂 精装单身公寓 家电齐全 拎包入住,1600,整租,普通住宅,1室1厅1卫,20平米,朝南北,精装修,第19层/共30层,世茂湖滨首府,湖边水库片,经纪人：
万达广场 世茂 提包入住 新装修未入住 看房有锁 南北通透,5500,整租,普通住宅,2室2厅1卫,105平米,朝南北,中等装修,第35层/共41层,世茂湖滨首府,湖边水库片,经纪人：
万达广场 世茂 提包入住 新装修未入住 看房有锁 南北通透,5500,整租,普通住宅,2室2厅1卫,105平米,朝南北,中等装修,第35层/共41层,世茂湖滨首府,湖边水库片,经纪人：
金湖路书香佳缘3房2厅2卫2阳台,4500,整租,公寓,3室2厅2卫,135平米,第5层/共11层,,,书香佳缘,枋湖,品牌公寓：
个人出租免中介金山BRT旁湖景一房一厅,2400,整租,公寓,1室1厅1卫,40平米,第24层/共32层,,,融景湾,湖边水库片,品牌公寓：
青友公寓 县后BRT 宏益华府 两房一厅 家具家电齐全 周边配套齐,2750,整租,公寓,2室1厅1卫,48平米,第6层/共13层,,,宏益华府,高新技术园,品牌公寓：
青友公寓 双十BRT 力拓新城 一房一厅 家具家电齐全周边配套齐全,2100,整租,公寓,1室1厅1卫,35平米,第3层/共11层,,,力拓新城,高新技术园,品牌公寓：
个人租免中介 湖里高新技术园宏益华府小区 单间精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1450,整租,公寓,1室0厅1卫,22平米,第7层/共13层,,,宏益华府,五缘湾,品牌公寓：
湖边水库 世茂 精装单身公寓 家电齐全 拎包入住,1600,整租,普通住宅,1室1厅1卫,20平米,朝南北,精装修,第19层/共30层,世茂湖滨首府,湖边水库片,经纪人：
万达广场 世茂 提包入住 新装修未入住 看房有锁 南北通透,5500,整租,普通住宅,2室2厅1卫,105平米,朝南北,中等装修,第35层/共41层,世茂湖滨首府,湖边水库片,经纪人：
万达广场 世茂 提包入住 新装修未入住 看房有锁 南北通透,5500,整租,普通住宅,2室2厅1卫,105平米,朝南北,中等装修,第35层/共41层,世茂湖滨首府,湖边水库片,经纪人：
万达广场 融景湾 世茂 提包入住 看湖景 看中庭,6500,整租,普通住宅,3室2厅2卫,155平米,朝南北,中等装修,第11层/共41层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场 软件园二期 蔡塘 世茂湖滨首府  高装2房,4000,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第9层/共28层,世茂湖滨首府,湖边水库片,经纪人：
世贸湖滨高使用率，舒适环境等你享受,3600,整租,普通住宅,3室2厅3卫,125平米,朝南,中等装修,第14层/共28层,世贸湖滨首府,湖边水库片,经纪人：
大千世界，千里难寻，世茂给你个家,1800,整租,普通住宅,1室1厅1卫,25平米,朝南北,中等装修,第12层/共34层,世茂湖滨首府,湖边水库片,经纪人：
好房子2600！不议价、大唐YOHO、全套精装！狠狠漂亮啊！,2500,整租,普通住宅,1室1厅1卫,33平米,朝北,中等装修,第8层/共26层,特易购地产集团,五缘湾,经纪人：
真狠漂亮！实拍照啊！大唐五缘YOHO、挑高站直、精装全套啊！,2800,整租,普通住宅,1室1厅1卫,33平米,朝南,中等装修,第16层/共26层,大唐五缘YOHO,五缘湾,经纪人：
五缘湾万达软件园世茂湖滨花园精装修2+1房4500元,4500,整租,普通住宅,3室2厅2卫,105平米,朝南北,精装修,第11层/共32层,世茂湖滨首府,湖边水库片,经纪人：
软件园世茂湖滨业主自住精装房高档配置出租,8000,整租,普通住宅,4室2厅2卫,142平米,朝南,精装修,第8层/共32层,世茂湖滨首府,湖边水库片,经纪人：
业主降价急租软件园二期湖滨花园3房5500元,5500,整租,普通住宅,3室2厅2卫,133平米,朝南北,中等装修,第16层/共32层,世茂湖滨首府,湖边水库片,经纪人：
业主降价急租万达软件园2房出租4800元齐全,4800,整租,普通住宅,2室2厅2卫,105平米,朝南北,中等装修,第20层/共32层,世茂湖滨首府,湖边水库片,经纪人：
沿街金铺，地铁口，居住人口多，商住两用房，50-85元/平,9999,整租,普通住宅,4室1厅1卫,90平米,朝南北,中等装修,第1层/共3层,世茂湖滨首府,湖边水库片,经纪人：
。宝龙世茂湖滨别墅毛坯出租308平仅租11000元,11000,整租,普通住宅,5室2厅4卫,308平米,朝南北,毛坯,第5层/共6层,世茂湖滨首府,湖边水库片,经纪人：
便宜精装月租4800元3房，世茂湖滨花园，水库，软件园旁,4800,整租,普通住宅,3室2厅2卫,138平米,朝南,精装修,第3层/共10层,世茂湖滨首府,湖边水库片,经纪人：
万达软件园世茂湖滨挑高4.5米办公出租4000元,4000,整租,普通住宅,2室2厅2卫,100平米,朝南北,中等装修,第3层/共9层,世茂湖滨首府,湖边水库片,经纪人：
中等装修3室朝南北环境优美，欢迎你的入住,3500,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第3层/共6层,中港花园二期,SM附近,经纪人：
永升新城、两房、一梯两户、南北通透、户型方正、精装拎包,2700,整租,普通住宅,2室1厅1卫,73平米,朝南北,中等装修,第6层/共7层,永升新城,湖里大道,经纪人：
个人租免中介 湖里高新技术园宏益华府小区 单间精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1450,整租,公寓,1室0厅1卫,22平米,第7层/共13层,,,宏益华府,机场附近,品牌公寓：
湖里高新技术园县后BRT宏益华府,1450,整租,公寓,1室0厅1卫,23平米,第3层/共13层,,,宏益华府,高新技术园,品牌公寓：
免中介费包物业宽带押一付一多套,1500,整租,公寓,1室1厅1卫,25平米,第4层/共6层,,,中铺社,机场附近,品牌公寓：
青友公寓直租免中介费 宏益华府小区精装公寓 设施配备齐全 包物业宽带 拎包入住,1850,整租,公寓,1室1厅1卫,30平米,第5层/共13层,,,宏益华府,高新技术园,品牌公寓：
房东直租 两房一厅 包物业宽带 多套,3200,整租,公寓,2室1厅1卫,70平米,第26层/共35层,,,融景湾,万达广场,品牌公寓：
万达软件园世茂湖滨挑高4.5米办公出租4000元,4000,整租,普通住宅,2室2厅2卫,100平米,朝南北,中等装修,第3层/共9层,世茂湖滨首府,湖边水库片,经纪人：
中等装修3室朝南北环境优美，欢迎你的入住,3500,整租,普通住宅,3室2厅2卫,103平米,朝南北,中等装修,第3层/共6层,中港花园二期,SM附近,经纪人：
永升新城、两房、一梯两户、南北通透、户型方正、精装拎包,2700,整租,普通住宅,2室1厅1卫,73平米,朝南北,中等装修,第6层/共7层,永升新城,湖里大道,经纪人：
湖里马垅嘉园路大四房出租房东自住第首次出租家具电齐全,4900,整租,普通住宅,4室3厅3卫,150平米,朝南北,精装修,第6层/共6层,芙蓉苑,湖里大道,经纪人：
福隆国际繁华商圈人流密集商业旺铺转让费3W！,12000,整租,普通住宅,1室0厅0卫,124平米,朝南北,中等装修,第1层/共2层,福隆国际,江头北路,经纪人：
枋湖禹州城上城4房房东自住装修看房有锁价格可谈,6300,整租,普通住宅,4室2厅2卫,138平米,朝南北,精装修,第8层/共15层,禹洲城上城,金湖路,经纪人：
枋湖幸福密码大单间独卫带阳台包物业包宽带仅1500,1500,整租,普通住宅,1室0厅1卫,36平米,朝南北,精装修,第12层/共14层,幸福密码,枋湖,经纪人：
《美女房东》《东晖广场》1室1厅1卫精装全套3200/月》,3200,整租,普通住宅,1室1厅1卫,55平米,朝南北,中等装修,第5层/共16层,东晖广场,枋湖,经纪人：
BRT沿线大唐五缘Yoho复试楼中楼拎包入住看房有锁,2300,整租,普通住宅,1室1厅1卫,33平米,朝西,精装修,第13层/共26层,特易购地产集团,五缘湾,经纪人：
五缘实验二小旁紫金家园精装3房南北通透带车位,6300,整租,普通住宅,3室2厅2卫,122平米,朝南北,精装修,第11层/共14层,紫金家园,五缘湾,经纪人：
特房五缘尚座3室2厅129平简装，适合办公，看房有锁,5000,整租,普通住宅,3室2厅2卫,130平米,朝南北,简单装修,第25层/共27层,特房五缘尚座,五缘湾,经纪人：
万达公寓D3栋部分家具看小区中庭安静多套可选车位三百,1999,整租,公寓,1室0厅1卫,42平米,朝南北,精装修,第11层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓D3栋部分家具看小区中庭安静多套可选车位三百,1999,整租,公寓,1室0厅1卫,42平米,朝南北,精装修,第11层/共31层,万达SOHO公寓,湖边水库片,经纪人：
万达公寓软件园五缘湾田园风格温馨舒适拎包入住长短租,2499,整租,普通住宅,1室0厅1卫,44平米,朝南北,精装修,第7层/共31层,湖里万达广场,湖边水库片,经纪人：
万达软件园五缘湾楼中楼两房装修时尚拎包入住车位三百,4200,整租,公寓,2室0厅1卫,60平米,朝南,中等装修,第2层/共31层,湖里万达广场,湖边水库片,经纪人：
东方巴黎广场三期少有户型大3房大阳台拎包入住家庭,5000,整租,普通住宅,3室2厅2卫,139平米,朝南北,中等装修,第12层/共18层,东方巴黎广场三期,江头北路,经纪人：
特房五缘尚座景观两房出租紧邻BRT沿线交通便捷,3800,整租,普通住宅,2室1厅1卫,80平米,朝南北,精装修,第1层/共16层,特房五缘尚座,五缘湾,经纪人：
五缘商圈国贸新天地精装两房出租高品质社区带全套,5500,整租,普通住宅,2室2厅1卫,97平米,朝南北,精装修,第23层/共27层,国贸新天地,五缘湾,经纪人：
特房五缘新座温馨单间出租视野佳配套成熟交通便捷,1400,整租,普通住宅,1室0厅1卫,20平米,朝南,中等装修,第25层/共28层,特房五缘新座,五缘湾,经纪人：
青友公寓无中介 湖里高新区精品房源 设施配备齐全 交通便利,1900,整租,公寓,1室1厅1卫,25平米,第9层/共9层,,,国际石材中心,机场附近,品牌公寓：
机场附近拎包入住南北通透,1488,整租,公寓,1室1厅1卫,30平米,第13层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友品牌公寓出租免中介 BRT双十站力拓新城小区 两房一厅精装配套齐全风格多样公寓（赠送物业宽带  拎包入住 交通便利）,2599,整租,公寓,2室1厅1卫,42平米,第11层/共13层,,,力拓新城,枋湖,品牌公寓：
